,NOIf,NOS,NOV,MDOA,NOL,CC,NOD,HD,HV,HE,NM,NOE,NOC,NOIter,NONo,NONK,MDON,SODON,MW,NONe,LC,FC,BC
NOIf,0.0,1.71430652406993e-27,1.56268676767311e-05,1.2277489355736368e-22,4.317974531051638e-27,2.5192711260438695e-57,1.0,2.687501826019358e-35,5.044302199713927e-33,4.6934311224825984e-35,4.845746044760532e-16,4.1770491931075287e-11,1.0,,6.290376730891268e-23,2.7761672302305963e-28,6.847648241945906e-55,0.0,1.829945471900979e-14,9.513633935055356e-268,1.3458825240243287e-16,2.0530199093039852e-17,1.656446261815429e-17
NOS,1.71430652406993e-27,0.0,1.4133968968222489e-05,2.7705463905676454e-21,1.3625666633270384e-165,1.8019713297098655e-59,1.0,7.063430537639021e-48,4.453867270542549e-47,4.263878391986634e-44,9.848423784570501e-46,2.9831933391857287e-100,0.5176580369431022,,6.238165522162596e-158,2.6535084041904453e-40,1.4626229712986285e-14,1.316554769884336e-27,3.617452385952189e-107,2.697122247944923e-27,1.458502039238064e-14,6.293970962744393e-15,7.4588110870659855e-16
NOV,1.56268676767311e-05,1.4133968968222489e-05,0.0,3.7687831584024507e-06,6.612250622148433e-07,7.125065771790088e-05,1.0,0.0003553348512239573,0.00011839300074241934,5.331575022719417e-05,0.0007062812732906534,0.38414993215261717,1.0,,1.4316716885357633e-07,4.30688092418658e-20,0.2915386396028585,1.6595436270521956e-05,5.039337945286249e-07,1.82921960011103e-05,8.163776047056062e-05,9.324060161625426e-05,3.1902803988475615e-05
MDOA,1.2277489355736368e-22,2.7705463905676454e-21,3.7687831584024507e-06,0.0,1.403310582969543e-20,7.268126679945112e-38,1.0,1.3940372370585797e-44,4.014313684800157e-43,1.2133533314964766e-41,1.6927965420949734e-32,5.1133689517212125e-11,1.0,,8.312448661823983e-22,8.383364052192772e-42,7.482206297711673e-12,1.508089600617029e-22,6.399006455298455e-08,2.5644996051191136e-22,2.103980985248123e-16,8.503720331988802e-17,8.89301542521786e-19
NOL,4.317974531051638e-27,1.3625666633270384e-165,6.612250622148433e-07,1.403310582969543e-20,0.0,7.11409465038922e-64,1.0,7.536815032789116e-52,6.141111583928279e-51,1.0452172649970216e-46,2.1139691175677624e-50,1.5985384318840013e-83,1.0,,3.453041827458392e-128,2.685564088822084e-38,6.846686374821998e-14,2.954859558466769e-27,8.697875114877015e-92,4.1118317978539855e-27,3.977755912216949e-15,1.074833288369243e-15,3.6982273491947994e-16
CC,2.5192711260438695e-57,1.8019713297098655e-59,7.125065771790088e-05,7.268126679945319e-38,7.114094650388813e-64,0.0,1.0,8.053146192478333e-115,8.044787620140588e-91,3.8224515296316573e-85,5.282278186661128e-91,1.2760156015771142e-33,1.0,,1.9472962353347632e-49,4.137934731381853e-43,3.0201754533664576e-30,3.604077522790431e-57,1.0188983046399678e-29,1.5344030976425976e-55,1.421429725754329e-17,2.7327811009795668e-18,2.4558873829869776e-20
NOD,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
HD,2.687501826019358e-35,7.063430537639325e-48,0.0003553348512239573,1.3940372370585797e-44,7.536815032789116e-52,8.053146192478333e-115,1.0,0.0,1.7108737492701563e-171,7.141176586407225e-162,1.2904402856656175e-78,9.014785443889956e-32,1.0,,1.178352813847566e-44,1.2924415860951236e-37,1.5227320539801672e-19,3.146937841605721e-35,1.088487857072238e-25,3.735576542133215e-34,1.570301333741903e-17,3.713740705969567e-18,1.2225129349554739e-20
HV,5.044302199713927e-33,4.453867270542549e-47,0.00011839300074241934,4.014313684800157e-43,6.141111583928279e-51,8.044787620140588e-91,1.0,1.7108737492701563e-171,0.0,6.448835885483369e-230,1.2721562309879674e-65,1.2933680539963548e-30,1.0,,2.2346107763142208e-44,4.512538496141618e-34,3.2528443715191727e-16,6.874648535464423e-33,7.760776372823753e-26,9.228829199158892e-32,4.216758714719435e-19,4.603394136760418e-20,6.534687103177889e-22
HE,4.6934311224825984e-35,4.263878391986634e-44,5.331575022719417e-05,1.2133533314964766e-41,1.0452172649970663e-46,3.8224515296316573e-85,1.0,7.141176586407225e-162,6.448835885475303e-230,0.0,1.4196636962573974e-55,6.893128384799262e-29,1.0,,6.436329927532641e-42,9.915427641639363e-34,5.4811537634262936e-18,7.195148348881728e-35,1.3622523836519724e-24,2.2322150802645793e-33,5.380381899317597e-18,5.25057042384261e-19,8.139966815754732e-21
